date,views,uniques
2026-08-10,0,0
2026-08-11,0,0
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,0,0
2026-08-18,0,0
2026-08-19,0,0
2026-08-20,0,0
2026-08-21,0,0
2026-08-22,0,0
2026-08-23,36,8
2026-08-24,12,2
2026-08-25,13,3
2026-08-26,0,0
2026-08-27,0,0
2026-08-28,0,0
2026-08-29,4,3
2026-08-30,1,1
2026-08-31,0,0
2026-09-01,0,0
2026-09-02,0,0
2026-09-03,0,0
2026-09-04,0,0
